### Footprint positions - created on Mon Apr  8 21:58:17 2024 ###
### Printed by KiCad version 7.0.9
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val                      Package                                                       PosX       PosY       Rot  Side
J4        Conn_Coaxial             U.FL_Hirose_U.FL-R-SMT-1_Vertical                          14.7275    51.4875   90.0000  top
J5        Conn_01x02               JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                     140.1500    35.2700  -90.0000  top
J6        USB_C_Receptacle_USB2.0  USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal    15.5200     3.3200    0.0000  top
J7        Conn_01x02               JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                     140.1500    25.1100  -90.0000  top
L1        2n7                      L_0402_1005Metric                                          14.7275    45.2025   90.0000  top
R1        20k                      R_0402_1005Metric                                         112.0000     4.5100  -90.0000  top
R2        220R                     R_0402_1005Metric                                           4.7500    43.0000    0.0000  top
R3        220R                     R_0402_1005Metric                                           8.2500    29.0000    0.0000  top
R4        220R                     R_0402_1005Metric                                           8.2400    27.5000    0.0000  top
R5        220R                     R_0402_1005Metric                                           7.9900    20.5000    0.0000  top
R6        220R                     R_0402_1005Metric                                           7.9900    18.7500    0.0000  top
R7        5.6k                     R_0402_1005Metric                                           8.7500    30.7500  -90.0000  top
R8        5.6k                     R_0402_1005Metric                                           8.7900    25.8000   90.0000  top
R9        5k1                      R_0402_1005Metric                                          30.1000     8.5000    0.0000  top
R10       220R                     R_0402_1005Metric                                          30.1100     6.5000    0.0000  top
R11       5k1                      R_0402_1005Metric                                          21.5000     6.5000   90.0000  top
R12       5k1                      R_0402_1005Metric                                           9.5000     6.5000   90.0000  top
R13       5.6k                     R_0402_1005Metric                                         114.0000    17.0000   90.0000  top
R14       10R                      R_0402_1005Metric                                         124.5000    30.5500   90.0000  top
R15       22R                      R_0402_1005Metric                                         132.0000    27.5500  -90.0000  top
R16       100K                     R_0402_1005Metric                                          54.5250    25.4600  -90.0000  top
R17       5.6k                     R_0402_1005Metric                                          51.5150    26.4600    0.0000  top
R18       150K                     R_0402_1005Metric                                          54.4650    20.9600    0.0000  top
R19       1M                       R_0402_1005Metric                                          56.5250    24.4500   90.0000  top
R20       220R                     R_0402_1005Metric                                          55.5250    25.4600  -90.0000  top
R21       100K                     R_0402_1005Metric                                          54.4750    15.9700   90.0000  top
R22       5.6k                     R_0402_1005Metric                                          51.4750    14.9800    0.0000  top
R23       150K                     R_0402_1005Metric                                          54.4650    19.9600    0.0000  top
R24       1M                       R_0402_1005Metric                                          56.4750    16.4600  -90.0000  top
R25       220R                     R_0402_1005Metric                                          55.4750    15.9700   90.0000  top
R26       100K                     R_0402_1005Metric                                          67.4750    15.9600   90.0000  top
R27       5.6k                     R_0402_1005Metric                                          70.4750    14.9600  180.0000  top
R28       150K                     R_0402_1005Metric                                          67.4750    19.9600  180.0000  top
R29       1M                       R_0402_1005Metric                                          65.4750    16.4600  -90.0000  top
R30       220R                     R_0402_1005Metric                                          66.4750    15.9500   90.0000  top
R31       100K                     R_0402_1005Metric                                          67.4750    25.4600  -90.0000  top
R32       5.6k                     R_0402_1005Metric                                          70.4750    26.4600  180.0000  top
R33       150K                     R_0402_1005Metric                                          67.4750    20.9600  180.0000  top
R34       1M                       R_0402_1005Metric                                          65.4750    24.4500   90.0000  top
R35       220R                     R_0402_1005Metric                                          66.4750    25.4600  -90.0000  top
R36       100K                     R_0402_1005Metric                                          89.4900    25.5000  -90.0000  top
R37       5.6k                     R_0402_1005Metric                                          86.4900    26.0000    0.0000  top
R38       150K                     R_0402_1005Metric                                          88.9900    21.0000    0.0000  top
R39       1M                       R_0402_1005Metric                                          91.4900    24.5000   90.0000  top
R40       220R                     R_0402_1005Metric                                          90.4900    25.5000  -90.0000  top
R41       100K                     R_0402_1005Metric                                          89.4900    15.5000   90.0000  top
R42       5.6k                     R_0402_1005Metric                                          86.4900    15.0000    0.0000  top
R43       150K                     R_0402_1005Metric                                          88.9900    20.0000    0.0000  top
R44       1M                       R_0402_1005Metric                                          91.4900    16.5100  -90.0000  top
R45       220R                     R_0402_1005Metric                                          90.4900    15.4900   90.0000  top
R46       100K                     R_0402_1005Metric                                         102.4900    15.5000   90.0000  top
R47       5.6k                     R_0402_1005Metric                                         105.4800    15.0000  180.0000  top
R48       150K                     R_0402_1005Metric                                         102.9900    20.0000  180.0000  top
R49       1M                       R_0402_1005Metric                                         100.4900    16.5100  -90.0000  top
R50       220R                     R_0402_1005Metric                                         101.4900    15.5100   90.0000  top
R51       100K                     R_0402_1005Metric                                         102.4900    25.5000  -90.0000  top
R52       5.6k                     R_0402_1005Metric                                         105.4900    26.0000  180.0000  top
R53       150K                     R_0402_1005Metric                                         102.9900    21.0000  180.0000  top
R54       1M                       R_0402_1005Metric                                         100.4900    24.5000   90.0000  top
R55       220R                     R_0402_1005Metric                                         101.4900    25.5000  -90.0000  top
R56       100K                     R_0402_1005Metric                                          33.0000    15.5100   90.0000  top
R57       5.6k                     R_0402_1005Metric                                          34.9900    14.5000  180.0000  top
R58       150K                     R_0402_1005Metric                                          32.4900    20.0000  180.0000  top
R59       1M                       R_0402_1005Metric                                          31.0000    16.5000  -90.0000  top
R60       220R                     R_0402_1005Metric                                          31.9900    15.4900   90.0000  top
R61       100K                     R_0402_1005Metric                                          33.0000    25.5000  -90.0000  top
R62       5.6k                     R_0402_1005Metric                                          35.0000    26.5000  180.0000  top
R63       150K                     R_0402_1005Metric                                          32.5000    21.0000  180.0000  top
R64       1M                       R_0402_1005Metric                                          31.0000    24.5000   90.0000  top
R65       220R                     R_0402_1005Metric                                          32.0000    25.5000  -90.0000  top
RV1       3296W                    Potentiometer_Bourns_3296W_Vertical                       108.5000     6.0000  -90.0000  top
RV2       3296W                    Potentiometer_Bourns_3296W_Vertical                       128.5000    27.5000  -90.0000  top
SW1       SW_Push                  SW_SPST_CK_RS282G05A3                                      37.5000     7.0000    0.0000  top
U1        STM32WB55CEU6            QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm                        15.9800    37.0000  180.0000  top
U2        PXO7809-500-M-TR         PXO7805-500-M-TR                                          128.5000    45.7500  180.0000  top
U3        PXO7805-500-M-TR         PXO7805-500-M-TR                                          128.5000    15.0000  180.0000  top
U4        USBLC6-2SC6              SOT-23-6                                                   16.0000    12.8625   90.0000  top
U5        LM66200                  SOT-583-8                                                 116.2500    16.7400   90.0000  top
U6        LM317_SOT-223            SOT-223-3_TabPin2                                         119.0000    30.0500  180.0000  top
U7        MIC5365-3.3YD5           SOT-23-5                                                  116.0000     9.8625  -90.0000  top
U8        MCP604                   SOIC-14_3.9x8.7mm_P1.27mm                                  61.0000    20.5000    0.0000  top
U9        MCP604                   SOIC-14_3.9x8.7mm_P1.27mm                                  95.9900    20.5000    0.0000  top
U10       MCP604                   SOIC-14_3.9x8.7mm_P1.27mm                                  26.5000    20.5000  180.0000  top
X1        32MHz,_NX2016SA-32M      Crystal_SMD_2016-4Pin_2.0x1.6mm                             9.9800    42.0000  180.0000  top
## End
